employee_id,employee_name,department,attendance_date,clock_in,clock_out,status,work_hours,tasks_completed,tasks_pending,feedback
108,Olivia Thomas,Sales,2026-06-01,2026-06-23T08:55:00Z,2026-06-23T18:10:00Z,Present,9.25,32,3,Excellent
111,Daniel White,Finance,2026-06-01,2026-06-23T09:20:00Z,2026-06-23T18:00:00Z,Present,8.666666666666666,21,2,Good
102,Alice Johnson,HR,2026-06-01,2026-06-23T09:15:00Z,2026-06-23T17:45:00Z,Present,8.5,18,2,Good
114,Mia Lewis,HR,2026-06-01,2026-06-23T09:05:00Z,2026-06-23T18:00:00Z,Present,8.916666666666666,17,3,Good
101,John Smith,IT,2026-06-01,2026-06-23T09:00:00Z,2026-06-23T18:00:00Z,Present,9,22,3,Excellent
105,David Wilson,IT,2026-06-01,2026-06-23T09:30:00Z,2026-06-23T18:00:00Z,Present,8.5,16,6,Average
110,Sophia Lee,HR,2026-06-01,2026-06-23T09:00:00Z,2026-06-23T17:30:00Z,Present,8.5,15,3,Average
107,James Anderson,Finance,2026-06-01,2026-06-23T09:10:00Z,2026-06-23T17:40:00Z,Present,8.5,19,4,Good
104,Sarah Davis,Sales,2026-06-01,2026-06-23T09:05:00Z,2026-06-23T18:15:00Z,Present,9.166666666666666,30,5,Excellent
113,Matthew Clark,IT,2026-06-01,2026-06-23T08:45:00Z,2026-06-23T17:45:00Z,Present,9,24,2,Excellent
103,Michael Brown,Finance,2026-06-01,2026-06-23T08:50:00Z,2026-06-23T17:30:00Z,Present,8.666666666666666,20,4,Good
112,Isabella Harris,Sales,2026-06-01,2026-06-23T09:00:00Z,2026-06-23T18:20:00Z,Present,9.333333333333334,28,4,Excellent
